date,source,code,name,rank,heat
2026-03-19,pywencai_kaipanla,000617,中油资本,1,685399.0
2026-03-19,pywencai_kaipanla,600726,华电能源,2,672355.0
2026-03-19,pywencai_kaipanla,000815,美利云,3,583715.0
2026-03-19,pywencai_kaipanla,600396,华电辽能,4,559718.0
2026-03-19,pywencai_kaipanla,600759,洲际油气,5,519095.0
2026-03-19,pywencai_kaipanla,600821,金开新能,6,495561.0
2026-03-19,pywencai_kaipanla,002310,东方新能,7,446059.0
2026-03-19,pywencai_kaipanla,600666,奥瑞德,8,403484.0
2026-03-19,pywencai_kaipanla,002432,九安医疗,9,385481.5
2026-03-19,pywencai_kaipanla,601899,紫金矿业,10,339612.5
2026-03-19,pywencai_kaipanla,000601,韶能股份,11,326667.0
2026-03-19,pywencai_kaipanla,600186,莲花控股,12,315863.0
2026-03-19,pywencai_kaipanla,002202,金风科技,13,314994.5
2026-03-19,pywencai_kaipanla,001896,豫能控股,14,308374.5
2026-03-19,pywencai_kaipanla,601016,节能风电,15,304760.0
2026-03-19,pywencai_kaipanla,601868,中国能建,16,302598.0
2026-03-19,pywencai_kaipanla,002565,顺灏股份,17,299151.5
2026-03-19,pywencai_kaipanla,601218,吉鑫科技,18,296202.0
2026-03-19,pywencai_kaipanla,000539,粤电力A,19,295901.0
2026-03-19,pywencai_kaipanla,000533,顺钠股份,20,294060.5
2026-03-19,pywencai_kaipanla,600722,金牛化工,21,288295.0
2026-03-19,pywencai_kaipanla,300332,天壕能源,22,282681.0
2026-03-19,pywencai_kaipanla,601015,陕西黑猫,23,268808.5
2026-03-19,pywencai_kaipanla,002506,协鑫集成,24,253605.5
2026-03-19,pywencai_kaipanla,601857,中国石油,25,237430.5
2026-03-19,pywencai_kaipanla,000988,华工科技,26,231066.0
2026-03-19,pywencai_kaipanla,002015,协鑫能科,27,228046.5
2026-03-19,pywencai_kaipanla,603629,利通电子,28,225108.5
2026-03-19,pywencai_kaipanla,600370,三房巷,29,223428.0
2026-03-19,pywencai_kaipanla,000890,法尔胜,30,220313.0
2026-03-19,pywencai_kaipanla,603366,日出东方,31,220166.5
2026-03-19,pywencai_kaipanla,300895,铜牛信息,32,211604.0
2026-03-19,pywencai_kaipanla,300164,通源石油,33,210253.5
2026-03-19,pywencai_kaipanla,300418,昆仑万维,34,205993.0
2026-03-19,pywencai_kaipanla,600979,广安爱众,35,204178.0
2026-03-19,pywencai_kaipanla,300059,东方财富,36,201898.5
2026-03-19,pywencai_kaipanla,002470,金正大,37,198014.5
2026-03-19,pywencai_kaipanla,600227,赤天化,38,193178.5
2026-03-19,pywencai_kaipanla,001258,立新能源,39,192093.5
2026-03-19,pywencai_kaipanla,600617,国新能源,40,189308.0
2026-03-19,pywencai_kaipanla,300483,首华燃气,41,189269.5
2026-03-19,pywencai_kaipanla,600410,华胜天成,42,188808.5
2026-03-19,pywencai_kaipanla,000547,航天发展,43,179425.5
2026-03-19,pywencai_kaipanla,603778,国晟科技,44,179066.5
2026-03-19,pywencai_kaipanla,603993,洛阳钼业,45,178449.5
2026-03-19,pywencai_kaipanla,603803,瑞斯康达,46,174962.0
2026-03-19,pywencai_kaipanla,000968,蓝焰控股,47,174880.5
2026-03-19,pywencai_kaipanla,000020,深华发A,48,174019.5
2026-03-19,pywencai_kaipanla,002261,拓维信息,49,173585.5
2026-03-19,pywencai_kaipanla,300317,珈伟新能,50,172959.0
2026-03-19,pywencai_kaipanla,002323,雅博股份,51,171348.5
2026-03-19,pywencai_kaipanla,002445,中南文化,52,168725.5
2026-03-19,pywencai_kaipanla,603881,数据港,53,165891.0
2026-03-19,pywencai_kaipanla,603687,大胜达,54,164854.0
2026-03-19,pywencai_kaipanla,002490,山东墨龙,55,159376.5
2026-03-19,pywencai_kaipanla,002109,兴化股份,56,150662.5
2026-03-19,pywencai_kaipanla,600996,贵广网络,57,149770.5
2026-03-19,pywencai_kaipanla,002594,比亚迪,58,149678.5
2026-03-19,pywencai_kaipanla,002902,铭普光磁,59,148881.5
2026-03-19,pywencai_kaipanla,600989,宝丰能源,60,147879.0
2026-03-19,pywencai_kaipanla,601179,中国西电,61,143628.0
2026-03-19,pywencai_kaipanla,600307,酒钢宏兴,62,142396.0
2026-03-19,pywencai_kaipanla,688525,佰维存储,63,140910.0
2026-03-19,pywencai_kaipanla,301396,宏景科技,64,139029.5
